arsenal,Arsenal Tula,city:Tula
amkar,Amkar Perm,city:Perm
anzhi,Anzhi Makhachkala,city:Makhachkala
CSKA,CSKA Moscow,city:Moscow
dynamo,Dynamo Moscow,city:Moscow
krasnodar,Krasnodar Krasnodar,city:Krasnodar
krylia sovetov,Krylia Sovetov Samara,city:Samara
kuban,Kuban Krasnodar,city:Krasnodar
lokomotiv,Lokomotiv Moscow,city:Moscow
mordovia,Mordovia Saransk,city:Saransk
rostov,Rostov Rostov-on-Don,city:Rostov-on-Don
rubin,Rubin Kazan,city:Kazan
spartak,Spartak Moscow,city:Moscow
terek,Terek Grozny,city:Grozny
torpedo,Torpedo Moscow,city:Moscow
ufa,Ufa Ufa,city:Ufa
ural,Ural Yekaterinburg,city:Yekaterinburg
zenit,Zenit St.Petersburg,city:St.Petersburg
